OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,GlobalID,Shape__Area,Shape__Length
4144,37,119,006304,1,371190063041,Block Group 1,0016668,"Block Group 1, Census Tract 63.04, Mecklenburg County, North Carolina",290,187,0,13,0,0,15,0.05172414,fe330712-afa2-4695-909f-2011ea471276,88152988.5924683,42728.0179179025
4145,37,119,002800,1,371190028001,Block Group 1,0016263,"Block Group 1, Census Tract 28, Mecklenburg County, North Carolina",324,347,0,0,0,0,0,0,5df17e67-f676-44b6-8e8b-7196d0e43a72,10440358.1231689,18125.465110651
4146,37,119,003300,2,371190033002,Block Group 2,0016329,"Block Group 2, Census Tract 33, Mecklenburg County, North Carolina",660,572,35,97,0,0,151,0.22878788,90eb737d-56fc-4ac8-b023-d42f60573dec,5790616.83276367,9796.50039400052
4147,37,119,003700,2,371190037002,Block Group 2,0016342,"Block Group 2, Census Tract 37, Mecklenburg County, North Carolina",667,606,0,197,35,32,214,0.32083958,bfdae4d2-61b9-4dd6-b79f-42a72da44cbe,20765371.0864258,19803.2219913181
4148,37,119,005512,1,371190055121,Block Group 1,0016428,"Block Group 1, Census Tract 55.12, Mecklenburg County, North Carolina",190,253,56,0,0,0,94,0.49473684,03ea00ce-ca46-45fc-82f5-bd648a1970fb,13349155.8727417,17525.6364017025
4149,37,119,006007,3,371190060073,Block Group 3,0016617,"Block Group 3, Census Tract 60.07, Mecklenburg County, North Carolina",1543,1284,162,0,0,0,240,0.15554115,3aa47103-7ed4-486f-8acb-856a7d7d6ba8,35925536.8218994,29452.1526534853
4150,37,119,005847,3,371190058473,Block Group 3,0016581,"Block Group 3, Census Tract 58.47, Mecklenburg County, North Carolina",443,443,39,0,0,10,29,0.06546275,3eab0bcd-87b3-4ba9-95eb-5ac1d02c1d63,12095935.0618896,21880.1063560135
4151,37,119,005812,2,371190058122,Block Group 2,0016519,"Block Group 2, Census Tract 58.12, Mecklenburg County, North Carolina",1662,1350,118,84,44,0,296,0.17809868,625a5770-3f3a-4c1d-ad92-4204e7d6d7d2,67193182.447937,36150.1206370135
4152,37,119,002100,2,371190021002,Block Group 2,0016244,"Block Group 2, Census Tract 21, Mecklenburg County, North Carolina",924,798,149,6,0,5,238,0.25757576,1b1c0680-6192-4dc2-b85e-802e3a4bd96d,12767333.3627319,14731.2485715699
4153,37,119,002702,3,371190027023,Block Group 3,0016262,"Block Group 3, Census Tract 27.02, Mecklenburg County, North Carolina",332,334,18,0,0,16,15,0.04518072,bb66330b-da4e-4e91-a445-8df372075cf2,7608612.39782715,15507.1243989267
